FileName	ARTIST	TITLE	Prexisting data?	Transcriber	Transcription Date	Comments	ChangesToMcGillTranscription
TheJGeilsBand_FreezeFrame_1982	The J. Geils Band	Freeze-Frame	midi	Jonathan	2019-xx-xx	""	""
PeterGabriel_ShockTheMonkey_1982	Peter Gabriel	Shock The Monkey	midi	Jonathan	2019-xx-xx	""	""
EltonJohn_PhiladelphiaFreedom_1975	Elton John	Philadelphia Freedom	midi	Jonathan	2019-xx-xx	""	""
LindaRonstadt_WhenWillIBeLoved_1975	Linda Ronstadt	When Will I Be Loved	midi	Jonathan	2019-xx-xx	""	""
AlGreen_OhMeOhMy_1975	Al Green	Oh Me, Oh My (Dreams In My Arms) 	""	Jonathan	2019-xx-xx	""	""
AliceCooper_HeyStoopid_1991	Alice Cooper	Hey Stoopid	""	Jonathan	2019-xx-xx	""	""
StevieB_BecauseILoveYou_1991	Stevie B	Because I Love You (The Postman Song)	""	Jonathan	2019-xx-xx	""	""
MarkyMark_GoodVibrations_1991	Marky Mark	Good Vibrations	midi	Jonathan	2019-xx-xx	""	""
TheRobertCrayBand_SmokingGun_1987	The Robert Cray Band	Smoking Gun	""	Jonathan	2019-xx-xx	""	""
GinoVannelli_WildHorses_1987	Gino Vannelli	Wild Horses	""	Jonathan	2019-xx-xx	""	""
AnitaBaker_CaughtUpInTheRapture_1987	Anita Baker	Caught Up In The Rapture	""	Jonathan	2019-xx-xx	""	""
