filename	!!!Rolling Stone List Rank:	!!!OTL:	!!!COC:	!!!RRD:	!!!In original RS 5x20 subset	YoutubeLink
when_doves_cry	52	When Doves Cry	Prince and the Revolution	1984	*	https://www.youtube.com/watch?v=UG3VcCAlUgE
while_my_guitar_gently_weeps	135	While My Guitar Gently Weeps	The Beatles	1968		https://www.youtube.com/watch?v=YEMEAxlYL04
who_do_you_love	132	Who Do You Love	Bo Diddley	1957		https://www.youtube.com/watch?v=8w9Eii9ZFsQ
whole_lotta_love	75	Whole Lotta Love	Led Zeppelin	1969		https://www.youtube.com/watch?v=HQmmM_qwG4k
whole_lotta_shakin_goin_on	61	Whole Lotta Shakin' Goin On	Jerry Lee Lewis	1957	*	https://www.youtube.com/watch?v=Fw7SBF-35Es
will_you_love_me_tomorrow	125	Will You Love Me Tomorrow	The Shirelles	1960		https://www.youtube.com/watch?v=4955hA_hcB4
with_or_without_you	131	With or Without You	U2	1987	*	https://www.youtube.com/watch?v=WZKnQRkWzLI
wont_get_fooled_again	133	Won't Get Fooled Again	The Who	1971		https://www.youtube.com/watch?v=SHhrZgojY1Q
yesterday	13	Yesterday	The Beatles	1965	*	https://www.youtube.com/watch?v=wXTJBr9tt8Q
you_cant_always_get_what_you_want	100	You Can't Always Get What You Want	The Rolling Stones	1969		https://www.youtube.com/watch?v=Ef9QnZVpVd8
you_really_got_me	82	You Really Got Me	The Kinks	1964		https://www.youtube.com/watch?v=fTTsY-oz6Go
you_send_me	115	You Send Me	Sam Cooke	1957		https://www.youtube.com/watch?v=mrwfB4aAZZc
youve_lost_that_lovin_feelin	34	You've Lost That Lovin' Feelin'	The Righteous Brothers	1964		https://www.youtube.com/watch?v=uOnYY9Mw2Fg
your_song	136	Your Song	Elton John	1970		https://www.youtube.com/watch?v=mXuUtEDp_Mo
