RANK	TITLE	ARTIST
401	Tonight's the Night	The Shirelles
402	Thank You (Falettinme Be Mice Elf Agin)	Sly & the Family Stone
403	C'mon Everybody	Eddie Cochran
404	Visions of Johanna	Bob Dylan
405	We've Only Just Begun	The Carpenters
406	I Believe I Can Fly	R. Kelly
407	In Bloom	Nirvana
408	Sweet Emotion	Aerosmith
409	Crossroads	Cream
410	Monkey Gone to Heaven	Pixies
411	I Feel Love	Donna Summer
412	Ode To Billie Joe	Bobbie Gentry
413	The Girl Can't Help It	Little Richard
414	Young Blood	The Coasters
415	I Can't Help Myself	The Four Tops
416	The Boys of Summer	Don Henley
417	Fuck tha Police	N.W.A.
418	Suite: Judy Blue Eyes	Crosby, Stills and Nash
419	Nuthin' But a 'G' Thang	Dr. Dre
420	It's Your Thing	The Isley Brothers
421	Piano Man	Billy Joel
422	Lola	The Kinks
423	Blue Suede Shoes	Elvis Presley
424	Tumbling Dice	The Rolling Stones
425	William, It Was Really Nothing	The Smiths
426	Smoke on the Water	Deep Purple
427	New Year's Day	U2
428	Devil With a Blue Dress On/Good Golly Miss Molly	Mitch Ryder and the Detroit Wheels
429	Everybody Needs Somebody to Love	Solomon Burke
430	White Man in Hammersmith Palais	The Clash
431	Ain't It a Shame	Fats Domino
432	Midnight Train to Georgia	Gladys Knight and the Pips
433	Ramble On	Led Zeppelin
434	Mustang Sally	Wilson Pickett
435	Beast of Burden	The Rolling Stones
436	Alone Again Or	Love
437	Love Me Tender	Elvis Presley
438	I Wanna Be Your Dog	The Stooges
439	Pink Houses	John Cougar Mellencamp
440	Push It	Salt-n-Pepa
441	Come Go With Me	The Del-Vikings
442	Keep a Knockin'	Little Richard
443	I Shot the Sheriff	Bob Marley and the Whailers
444	I Got You Babe	Sonny and Cher
445	Come As You Are	Nirvana
446	Pressure Drop	Toot and the Maytals
447	Leader of the Pack	The Shangri-Las
448	Heroin	The Velvet Underground
449	Penny Lane	The Beatles
450	By the Time I Get to Phoenix	Glem Campbell
451	The Twist	Chubby Checker
452	Cupid	Sam Cooke
453	Paradise City	Guns n' Roses
454	My Sweet Lord	George Harrison
455	All Apologies	Nirvana
456	Stagger Lee	Lloyd Price
457	Sheena Is a Punk Rocker	Ramones
458	Soul Man	Sam and Dave
459	Rollin' Stone	Muddy Waters
460	One Fine Day	The Chiffons
461	Kiss	Prince
462	Respect Yourself	The Staple Singers
463	Rain	The Beatles
464	Standing in the Shadows of Love	The Four Tops
465	Surrender	Cheap Trick
466	Runaway	Del Shannon
467	Welcome to the Jungle	Guns n' Roses
468	Search and Destroy	The Stooges
469	It's Too Late	Carole King
470	Free Man in Paris	Joni Mitchell
