FileName	Rolling Stone Rank	TITLE	ARTIST	Release Year	RS 5x20 subset	Lyric subset	YoutubeLink
JamesBrown_ItsAMansMansMansWorld_1966	123	It's a Man's Man's Man's World	James Brown	1966	FALSE	FALSE	https://www.youtube.com/watch?v=7rq9OvaJyRc
ElvisPresley_JailhouseRock_1957	67	Jailhouse Rock	Elvis Presley	1957	TRUE	TRUE	https://www.youtube.com/watch?v=MfrC8PAQtlg
ChuckBerry_JohnnyBGoode_1958	7	Johnny B. Goode	Chuck Berry	1958	TRUE	TRUE	https://www.youtube.com/watch?v=6ROwVrF0Ceg
TheRollingStones_JumpinJackFlash_1968	124	Jumpin' Jack Flash	The Rolling Stones	1968	FALSE	FALSE	https://www.youtube.com/watch?v=ruTMp4Sy1E
LedZeppelin_Kashmir_1975	140	Kashmir	Led Zeppelin	1975	FALSE	FALSE	https://www.youtube.com/watch?v=Zp3nCW8VkJ8
DerekAndTheDominos_Layla_1970	27	Layla	Derek and the Dominos	1970	TRUE	TRUE	https://www.youtube.com/watch?v=uSquiIVLhrQ
TheBeatles_LetItBe_1970	20	Let It Be	The Beatles	1970	TRUE	TRUE	https://www.youtube.com/watch?v=nt9uBlRuBPw
MarvinGaye_LetsGetItOn_1973	167	Let's Get It On	Marvin Gaye	1973	FALSE	FALSE	https://www.youtube.com/watch?v=CoOXbP7hmc0
AlGreen_LetsStayTogether_1971	60	Let's Stay Together	Al Green	1971	TRUE	TRUE	https://www.youtube.com/watch?v=COiIC3A0ROM
TheDoors_LightMyFire_1967	35	Light My Fire	The Doors	1967	FALSE	FALSE	https://www.youtube.com/watch?v=EqcMAz7xQ5g
BobDylan_LikeARollingStone_1965	1	Like a Rolling Stone	Bob Dylan	1965	TRUE	TRUE	https://www.youtube.com/watch?v=IwOfCgkyEj0
Prince_LittleRedCorvette_1983	108	Little Red Corvette	Prince	1983	TRUE	TRUE	https://www.youtube.com/watch?v=v0KpfrJE4zw
StevieWonder_LivingForTheCity_1973	104	Living for the City	Stevie Wonder	1973	TRUE	FALSE	https://www.youtube.com/watch?v=rc0XEw4m-3w
TheClash_LondonCalling_1980	15	London Calling	The Clash	1980	TRUE	FALSE	https://www.youtube.com/watch?v=EfK-WX2pa8c
LittleRichard_LongTallSally_1956	56	Long Tall Sally	Little Richard	1956	TRUE	TRUE	https://www.youtube.com/watch?v=2OfhmVmhL7s
Eminem_LoseYourself_2002	166	Lose Yourself	Eminem	2002	FALSE	FALSE	https://www.youtube.com/watch?v=_Yhyp-HX2s
Beck_Loser_1993	200	Loser	Beck	1993	TRUE	TRUE	https://www.youtube.com/watch?v=YgSPaXgAdzE
REM_LosingMyReligion_1991	169	Losing My Religion	R.E.M.	1991	TRUE	TRUE	https://www.youtube.com/watch?v=xwtdhWltSIg
TheKingsmen_LouieLouie_1963	55	Louie Louie	The Kingsmen	1963	FALSE	FALSE	https://www.youtube.com/watch?v=LE07SMZtmJ4
AlGreen_LoveAndHappiness_1972	98	Love and Happiness	Al Green	1972	TRUE	FALSE	https://www.youtube.com/watch?v=rqqAnjY2Rmo
JoyDivision_LoveWillTearUsApart_1980	179	Love Will Tear Us Apart	Joy Division	1980	TRUE	TRUE	https://www.youtube.com/watch?v=zuuObGsB0No
IggyPop_LustForLife_1977	147	Lust for Life	Iggy Pop	1977	FALSE	FALSE	https://www.youtube.com/watch?v=Y2D4S1K8HWI
RodStewart_MaggieMay_1971	130	Maggie May	Rod Stewart	1971	FALSE	FALSE	https://www.youtube.com/watch?v=EOl7dh7a-6g
ChuckBerry_Maybellene_1955	18	Maybellene	Chuck Berry	1955	TRUE	TRUE	https://www.youtube.com/watch?v=NIb-Q2xyHcc
JanisJoplin_MeAndBobbyMcGee_1971	148	Me and Bobby McGee	Janis Joplin	1971	FALSE	FALSE	https://www.youtube.com/watch?v=sfjon-ZTqzU
BobDylan_MrTambourineMan_1965	106	Mr. Tambourine Man	Bob Dylan	1965	FALSE	FALSE	https://www.youtube.com/watch?v=oecX_1pqxk0
TheByrds_MrTambourineMan_1965	79	Mr. Tambourine Man	The Byrds	1965	FALSE	FALSE	https://www.youtube.com/watch?v=f7eJSdpMEnI
TheWho_MyGeneration_1965	11	My Generation	The Who	1965	TRUE	TRUE	https://www.youtube.com/watch?v=lJW_2wLt704
